variavel,importancia_media,desvio
alcohol,0.032257296954314674,0.009808127132777239
alcohol_density_ratio,0.03128965736040602,0.009790807164840558
sulphates,0.030115799492385707,0.010889425910047915
total sulfur dioxide,0.023310596446700436,0.005691730692194482
acidity_ratio,0.016973350253807095,0.009703727419383993
chlorides,0.016140545685279128,0.004843428613414117
free_sulfur_ratio,0.013459708121827351,0.0028236597589042654
citric acid,0.011714784263959343,0.006077914535950797
density,0.009240164974619236,0.004888933913322955
volatile acidity,0.0065831218274111205,0.006450778929452704
bound_sulfur_dioxide,0.006099302030456799,0.0021289613569132255
free sulfur dioxide,0.0032201776649745883,0.0027687995416520606
residual sugar,0.0017607868020304118,0.002740389603214729
fixed acidity,0.00013483502538064185,0.005069451739881106
pH,-0.0018401015228426854,0.0026011842821670864
